END-ITEM,ACTION,SEQ,MAT-ITEM,MATL-QTY,UNITS,START-EFF-DATE,END-EFF_DATE
031-02895-90002,A,1,031-02895,1,Derived,1/20/2016,
031-02895-90002,A,3,13216,2,Derived,1/20/2016,
031-02895-90002,A,4,13392,1,Derived,1/20/2016,
031-02895-90002,A,5,2250,7,Derived,1/20/2016,
031-02895-90002,A,6,2622,3,Derived,1/20/2016,
031-02895-90002,A,7,2324,2,Derived,1/20/2016,
031-02895-90002,A,8,2207,2,Derived,1/20/2016,
031-02895-90002,A,9,2208,42,Derived,1/20/2016,
031-02895-90002,A,10,2478,11,Derived,1/20/2016,
031-02895-90002,A,11,2249,4,Derived,1/20/2016,
